一個邊長為1公分的正方體容器，最多可以裝多少毫升的水？,0,0.01毫升,0.1毫升,1毫升,10毫升,1毫升,正方體的體積＝邊長×邊長×邊長＝1×1×1＝1立方公分。根據容積與容量的基本換算關係：1立方公分＝1毫升，所以這個正方體容器最多可以裝1毫升的水。這個換算關係非常重要，一定要牢記！,1
一個水杯的容量是750毫升，請問等於幾公升幾毫升？,0,7公升50毫升,0公升750毫升,75公升0毫升,0公升75毫升,0公升750毫升,因為1公升＝1000毫升，而750毫升不足1000毫升，所以不到1公升。750÷1000＝0餘750，因此750毫升＝0公升750毫升。也就是說750毫升比1公升還少，全部都是毫升的部分。,1
5公升等於多少毫升？,0,50毫升,500毫升,5000毫升,50000毫升,5000毫升,公升換算成毫升的方法是乘以1000。因為1公升＝1000毫升，所以5公升＝5×1000＝5000毫升。記住：公升是比較大的單位，毫升是比較小的單位，大單位換成小單位要乘以1000。,1
一個長方體容器，內部長15公分、寬10公分、高8公分。請問這個容器的容積是多少毫升？,1,,,,,1200,容器的容積就是容器內部空間的體積。內部的長＝15公分，寬＝10公分，高＝8公分。容積＝長×寬×高＝15×10×8＝1200立方公分。因為1立方公分＝1毫升，所以容積＝1200毫升。計算容積時一定要用內部尺寸。,1
一個長方體魚缸，內部長25公分、寬12公分、高10公分。請問這個魚缸最多能裝多少立方公分的水？,0,2500立方公分,3000立方公分,2000立方公分,3500立方公分,3000立方公分,魚缸最多能裝的水量就是魚缸的容積。容積＝內部長×寬×高＝25×12×10＝3000立方公分。因為1立方公分＝1毫升，所以也等於3000毫升。注意：計算容積一定要用「內部」尺寸。,1
3200毫升等於多少公升？答案請用小數表示。,1,,,,,3.2,毫升換算成公升的方法是除以1000。因為1公升＝1000毫升，所以3200毫升÷1000＝3.2公升。小數點往左移動三位：3200→3.200→3.2公升。,1
一瓶牛奶有2公升，小美喝了350毫升，請問還剩多少毫升？,0,650毫升,1650毫升,1750毫升,1350毫升,1650毫升,先把單位統一。2公升＝2×1000＝2000毫升。喝掉350毫升後，剩餘的牛奶＝2000－350＝1650毫升。計算容量問題時，一定要先把所有單位換成一樣的再計算。,1
一個長方體容器，內部長12公分、寬8公分、高6公分。請問容積等於多少公升？答案請用小數表示。,1,,,,,0.576,容積＝內部長×寬×高＝12×8×6＝576立方公分。因為1立方公分＝1毫升，所以容積＝576毫升。再換算成公升：576÷1000＝0.576公升。換算時把小數點往左移三位即可。,1
6500毫升等於幾公升幾毫升？,0,6公升50毫升,6公升500毫升,65公升0毫升,0公升650毫升,6公升500毫升,1公升＝1000毫升。6500÷1000＝6餘500。所以6500毫升＝6公升500毫升。整數部分6就是公升數，餘數500就是剩下的毫升數。驗算：6×1000＋500＝6500毫升，正確。,1
一個長方體容器，內部長10公分、寬8公分、高5公分，裝滿了水。請問這些水共有多少毫升？,0,40毫升,80毫升,400毫升,800毫升,400毫升,容器裝滿水時，水的體積等於容器的容積。容積＝內部長×寬×高＝10×8×5＝400立方公分。因為1立方公分＝1毫升，所以裝滿水有400毫升。容積（立方公分）和容量（毫升）的數值是相同的。,1
一瓶洗碗精有1.2公升，每次洗碗用15毫升。請問這瓶洗碗精最多可以用幾次？,0,8次,80次,120次,800次,80次,先統一單位：1.2公升＝1200毫升。每次用15毫升，所以最多可以用1200÷15＝80次。驗算：80×15＝1200毫升＝1.2公升，正確。1200÷15的計算方式：15×8＝120，所以15×80＝1200。,2
一個長方體容器，內部長20公分、寬16公分、高10公分。如果裝入1600毫升的水，請問水深是多少公分？,0,4公分,5公分,6公分,8公分,5公分,容器底面積＝長×寬＝20×16＝320平方公分。1600毫升＝1600立方公分（因為1毫升＝1立方公分）。水深＝水的體積÷底面積＝1600÷320＝5公分。驗算：20×16×5＝1600立方公分＝1600毫升，正確。要用水的體積除以底面積來求水深。,2
水龍頭每分鐘注入800毫升的水到一個內部長40公分、寬20公分、高25公分的空容器中。請問幾分鐘可以把容器裝滿？,0,15分鐘,20分鐘,25分鐘,30分鐘,25分鐘,容器容積＝40×20×25＝20000立方公分＝20000毫升。每分鐘注入800毫升，裝滿所需時間＝20000÷800＝25分鐘。驗算：25×800＝20000毫升＝20公升，正確。,2
一個長方體水槽，內部長60公分、寬30公分、高40公分，水深25公分。再倒入18公升的水後，請問水深變成幾公分？,0,30公分,35公分,38公分,40公分,35公分,原本的水量＝60×30×25＝45000立方公分＝45000毫升。倒入18公升＝18000毫升。水的總量＝45000＋18000＝63000毫升＝63000立方公分。新水深＝63000÷(60×30)＝63000÷1800＝35公分。因為35公分＜容器高度40公分，所以水不會溢出，水深是35公分。,2
容器甲的內部長35公分、寬20公分、高18公分，裝滿了水。把水全部倒入內部長40公分、寬25公分、高10公分的容器乙。請問溢出多少毫升？,0,不會溢出,溢出600毫升,溢出1200毫升,溢出2600毫升,溢出2600毫升,容器甲的水量＝35×20×18＝12600毫升。容器乙的容積＝40×25×10＝10000毫升。因為甲的水量12600毫升＞乙的容積10000毫升，所以水會溢出。溢出的水量＝12600－10000＝2600毫升。遇到倒水問題，要先分別算出水量和目標容器的容積，再比較大小。,2
一個長方體水箱，內部長50公分、寬25公分、高30公分，水深18公分。從底部的排水孔每分鐘排出1500毫升的水。請問幾分鐘後水會全部排完？,1,,,,,15,水箱中原有的水量＝底面積×水深＝50×25×18＝22500立方公分＝22500毫升。每分鐘排出1500毫升，排完所需時間＝22500÷1500＝15分鐘。驗算：15×1500＝22500毫升，正確。,2
一大桶果汁有10公升，要分裝到容量250毫升的小瓶中。請問需要幾個小瓶才能全部裝完？,1,,,,,40,先統一單位：10公升＝10000毫升。需要的小瓶數＝10000÷250＝40個。驗算：40×250＝10000毫升＝10公升，正確。所以需要40個小瓶才能把果汁全部裝完。,2
一個長方體水箱，內部長40公分、寬30公分、高20公分，裝了9.6公升的水。請問水深是多少公分？,0,6公分,8公分,10公分,12公分,8公分,先統一單位：9.6公升＝9600毫升＝9600立方公分。底面積＝40×30＝1200平方公分。水深＝水的體積÷底面積＝9600÷1200＝8公分。因為8公分＜容器高度20公分，所以水不會溢出。驗算：40×30×8＝9600立方公分＝9.6公升，正確。,2
媽媽煮湯用的鍋子，內部是正方形底面，邊長24公分、高15公分。她先裝了半鍋的水，然後加入2400毫升的高湯。請問加完高湯後鍋子裡的液體深度約幾公分？會不會滿出來？,2,約11.67公分不會滿,12公分不會滿,13公分不會滿,15公分剛好滿,約11.67公分不會滿,鍋子底面積＝24×24＝576平方公分。半鍋水深＝15÷2＝7.5公分。半鍋水量＝576×7.5＝4320立方公分＝4320毫升。加入高湯後總液量＝4320＋2400＝6720毫升＝6720立方公分。新液面深度＝6720÷576＝11.666…≈11.67公分。因為11.67公分＜鍋子高度15公分，所以不會滿出來。,2
藥局有一大瓶消毒酒精共3.6公升，每次消毒用45毫升。請問這瓶酒精最多可以使用幾次？,1,,,,,80,先統一單位：3.6公升＝3600毫升。3600÷45＝80次，剛好整除。所以這瓶酒精最多可以使用80次。驗算：80×45＝3600毫升＝3.6公升，正確。,2
一個無蓋的長方體容器，外部長22公分、寬17公分、高11公分，器壁和底部的厚度都是1公分。請問這個容器的容積是多少立方公分？,0,2000立方公分,3000立方公分,3740立方公分,4114立方公分,3000立方公分,無蓋容器的內部尺寸計算方式：長＝22－1×2＝20公分（左右各扣1公分壁厚），寬＝17－1×2＝15公分（前後各扣1公分壁厚）。因為沒有蓋子，高度只需扣底部厚度：高＝11－1＝10公分（只扣底部，上方沒有蓋子不用扣）。容積＝內部長×內部寬×內部高＝20×15×10＝3000立方公分。和有蓋容器不同，無蓋容器的高度只扣一次壁厚（底部），不扣上方。,3
一個有蓋的長方體鐵盒，外部長26公分、寬16公分、高12公分，六面的壁厚都是1公分。請問這個鐵盒的容積是多少毫升？,0,3360毫升,4032毫升,4992毫升,2400毫升,3360毫升,有蓋容器六面都有壁厚，所以每個方向都要扣兩次壁厚。內部長＝26－1×2＝24公分，內部寬＝16－1×2＝14公分，內部高＝12－1×2＝10公分。容積＝24×14×10＝3360立方公分。因為1立方公分＝1毫升，所以容積＝3360毫升。和無蓋容器不同，有蓋容器的高度要扣上蓋和底部兩次壁厚。,3
一個長方體水族箱，內部長60公分、寬30公分、高35公分，水深28公分。把一塊體積3000立方公分的石頭完全沉入水中。請問放入後水面會上升約幾公分？水會不會溢出？,2,約1.67公分不溢出,2公分不溢出,約1.67公分會溢出,3公分會溢出,約1.67公分不溢出,水族箱底面積＝60×30＝1800平方公分。根據排水法原理：物體完全沉入水中，排開的水體積等於物體本身的體積。水面上升高度＝石頭體積÷底面積＝3000÷1800＝1.666…≈1.67公分。新水深＝28＋1.67＝29.67公分。因為29.67公分＜容器高度35公分，所以不會溢出。,3
一個正方體水箱，內部邊長30公分，水深20公分。放入一個邊長15公分的正方體鐵塊完全沉入水中。請問放入後水深是幾公分？會不會溢出？,0,水深23.75公分不溢出,水深25公分不溢出,水深23.75公分會溢出,水深25公分會溢出,水深23.75公分不溢出,水箱底面積＝30×30＝900平方公分。原水量＝900×20＝18000立方公分。鐵塊體積＝15×15×15＝3375立方公分。放入鐵塊後，水和鐵塊的總體積＝18000＋3375＝21375立方公分。新水深＝總體積÷底面積＝21375÷900＝23.75公分。因為23.75公分＜30公分（水箱高度），所以不會溢出。水深從20公分上升到23.75公分，上升了3.75公分。,3
容器A內部長40公分、寬20公分、高30公分，裝滿了水。把水倒入容器B（內部長30公分、寬25公分、高28公分）。請問容器B裝得下嗎？如果裝不下，溢出多少毫升？,0,裝得下水深24公分,裝得下水深28公分,裝不下溢出3000毫升,裝不下溢出2000毫升,裝不下溢出3000毫升,容器A的水量＝40×20×30＝24000毫升。容器B的容積＝30×25×28＝21000毫升。因為A的水量24000毫升＞B的容積21000毫升，所以裝不下，水會溢出。溢出的水量＝24000－21000＝3000毫升。容器B會被裝滿，水深等於容器高度28公分，多出的3000毫升（即3公升）會流出來。,3
一個水箱內部長80公分、寬40公分、高50公分。水龍頭每分鐘注入4公升的水，同時排水管每分鐘排出1.5公升的水。水箱原本是空的，請問幾分鐘後水箱會裝滿？,0,48分鐘,56分鐘,64分鐘,80分鐘,64分鐘,水箱容積＝80×40×50＝160000立方公分＝160000毫升＝160公升。每分鐘淨注入量＝注入量－排出量＝4－1.5＝2.5公升。裝滿所需時間＝160÷2.5＝64分鐘。一邊進水一邊排水時，要用「淨注入量」來計算所需時間。驗算：64×2.5＝160公升，正確。,3
一個無蓋長方體水箱，外部長34公分、寬24公分、高17公分，壁厚和底部厚度都是2公分。如果注水到水深12公分，請問水箱裡有多少公升的水？答案請用小數表示。,1,,,,,7.2,無蓋容器的內部尺寸：內部長＝34－2×2＝30公分，內部寬＝24－2×2＝20公分，內部高＝17－2＝15公分（只扣底部厚度，因為沒有蓋子上方不用扣）。水深12公分＜內部高度15公分，所以不會溢出。水的體積＝內部長×內部寬×水深＝30×20×12＝7200立方公分＝7200毫升。換算成公升＝7200÷1000＝7.2公升。,3
一個長方體水槽，內部長48公分、寬36公分、高25公分，水深18公分。把3個完全相同的長方體鐵塊（每個長12公分、寬6公分、高8公分）全部沉入水中。請問放入後水深是幾公分？,0,18.5公分,19公分,19.5公分,20公分,19公分,水槽底面積＝48×36＝1728平方公分。每個鐵塊體積＝12×6×8＝576立方公分。3個鐵塊總體積＝576×3＝1728立方公分。水面上升高度＝鐵塊總體積÷底面積＝1728÷1728＝1公分。新水深＝18＋1＝19公分。因為19公分＜25公分（容器高度），所以不會溢出。3個鐵塊的總體積剛好等於底面積的數值，所以水面恰好上升1公分。,3
一個有蓋的長方體保鮮盒，外部長18公分、寬13公分、高9公分。上蓋厚0.5公分，底部厚0.5公分，四面側壁厚1公分。請問保鮮盒的容積是多少毫升？,0,1056毫升,1408毫升,880毫升,1760毫升,1408毫升,有蓋容器要分別計算各面扣除的壁厚。內部長＝18－1×2＝16公分（左右側壁各扣1公分），內部寬＝13－1×2＝11公分（前後側壁各扣1公分），內部高＝9－0.5－0.5＝8公分（上蓋扣0.5公分＋底部扣0.5公分）。容積＝16×11×8＝1408立方公分。因為1立方公分＝1毫升，所以容積＝1408毫升。注意：上蓋和底部的厚度可以和側壁不同，要分別計算。,3
一個長方體水池，內部長100公分、寬50公分、高40公分，水深30公分。放入一個底面積500平方公分、高45公分的長方體柱子直立在池底。請問放入後水深是幾公分？會不會溢出？,2,水深約33.3公分不溢出,水深35公分不溢出,水深約33.3公分會溢出,水深40公分會溢出,水深約33.3公分不溢出,水池底面積＝100×50＝5000平方公分。原水量＝5000×30＝150000立方公分。柱子底面積500平方公分放入後，水只能在剩餘的底面積上升。剩餘底面積＝5000－500＝4500平方公分。設新水深為h公分，水的體積＝剩餘底面積×水深，所以4500×h＝150000，h＝150000÷4500＝33.33公分。因為柱子高45公分＞水深33.33公分，柱子確實高於水面，計算合理。又33.33公分＜40公分（水池高度），所以不會溢出。水深約33.3公分。,3