一個三角形的兩個角分別是70度和80度，請問第三個角是幾度？,0,20,30,40,50,30,根據三角形內角和定理，三角形的三個內角加起來一定等於180度。已知兩個角分別是70度和80度，設第三個角為x度。列式：70＋80＋x＝180。先算70＋80＝150。再算x＝180－150＝30。所以第三個角是30度。,1
一個四邊形有三個角分別是80度、90度和100度，請問第四個角是幾度？,0,80,90,100,110,90,根據四邊形內角和定理，四邊形的四個內角加起來一定等於360度。已知三個角分別是80度、90度和100度，設第四個角為x度。列式：80＋90＋100＋x＝360。先算80＋90＋100＝270。再算x＝360－270＝90。所以第四個角是90度。,1
正三角形的三個角都一樣大，請問每個角是幾度？,1,,,,,60,正三角形的三條邊一樣長，三個角也完全相等。根據三角形內角和定理，三個內角加起來等於180度。因為三個角相等，設每個角為x度，列式：x＋x＋x＝180，也就是3x＝180。算出x＝180÷3＝60。所以正三角形的每個角是60度。,1
一個三角形的三個角分別是40度、60度和80度，這個三角形按角度分類屬於哪一種？（銳角三角形、直角三角形或鈍角三角形）,0,銳角三角形,直角三角形,鈍角三角形,等腰三角形,銳角三角形,三角形按角度分類有三種：銳角三角形（三個角都小於90度）、直角三角形（有一個角等於90度）、鈍角三角形（有一個角大於90度）。這個三角形的三個角是40度、60度和80度，三個角都小於90度，所以它是銳角三角形。,1
一個三角形有一個角是90度，另一個角是28度，請問第三個角是幾度？,0,52,62,72,82,62,根據三角形內角和定理，三角形的三個內角加起來一定等於180度。已知一個角是90度，另一個角是28度，設第三個角為x度。列式：90＋28＋x＝180。先算90＋28＝118。再算x＝180－118＝62。所以第三個角是62度。,1
一個直角三角形的其中一個銳角是41度，請問另一個銳角是幾度？,1,,,,,49,根據三角形內角和定理，三個內角加起來等於180度。直角三角形有一個角固定是90度。設另一個銳角為x度，列式：90＋41＋x＝180。先算90＋41＝131。再算x＝180－131＝49。所以另一個銳角是49度。,1
一個等腰三角形的兩個底角各是55度，請問頂角是幾度？,0,60,65,70,75,70,根據三角形內角和定理，三角形的三個內角加起來一定等於180度。等腰三角形有兩個相等的底角，每個底角是55度。設頂角為x度，列式：55＋55＋x＝180。先算55＋55＝110。再算x＝180－110＝70。所以頂角是70度。,1
一個三角形有一個角是25度，另一個角是120度，請問第三個角是幾度？這個三角形是哪一種三角形？（銳角、直角或鈍角三角形）,0,35度且為銳角三角形,35度且為鈍角三角形,45度且為鈍角三角形,55度且為銳角三角形,35度且為鈍角三角形,根據三角形內角和定理，三個內角加起來等於180度。設第三個角為x度，列式：25＋120＋x＝180。先算25＋120＝145。再算x＝180－145＝35。第三個角是35度。三個角分別是25度、120度、35度。因為120度大於90度，根據分類定義，有一個角大於90度的三角形是鈍角三角形。,1
長方形有幾條對稱軸？,0,1,2,3,4,2,長方形有2條對稱軸。一條是連接兩條長邊中點的水平對稱軸，另一條是連接兩條短邊中點的垂直對稱軸。沿著這兩條線對折，左右或上下兩半都能完全重合。注意：長方形沒有對角線方向的對稱軸（除非是正方形）。,1
正三角形有幾條對稱軸？,0,1,2,3,4,3,正三角形有3條對稱軸。每一條對稱軸都是從一個頂點到對面那條邊的中點的連線。沿著任何一條對稱軸對折，兩邊都能完全重合。這是因為正三角形的三條邊一樣長、三個角一樣大，所以每個頂點都可以當作對稱軸的起點。,1
一個等腰三角形的頂角是80度，請問每一個底角是幾度？,1,,,,,50,根據三角形內角和定理，三個內角加起來等於180度。等腰三角形有兩個相等的底角。設每個底角為x度，列式：80＋x＋x＝180，也就是80＋2x＝180。移項得2x＝180－80＝100。算出x＝100÷2＝50。所以每個底角是50度。,2
一個三角形的一個外角是145度，請問這個外角相鄰的內角是幾度？,0,25,35,45,55,35,根據外角與相鄰內角互補的性質，三角形任意一邊延長後形成的外角，與它相鄰的內角加起來等於180度（因為它們在同一條直線上形成平角）。設相鄰內角為x度，列式：x＋145＝180。算出x＝180－145＝35。所以相鄰的內角是35度。,2
一個三角形的兩個內角分別是38度和72度，請問第三個角的外角是幾度？,0,70,100,110,120,110,根據三角形外角定理，三角形的一個外角等於不相鄰的兩個內角之和。第三個角的外角＝38＋72＝110度。驗算：第三個內角＝180－38－72＝70度，外角＝180－70＝110度，兩種算法答案一致。所以第三個角的外角是110度。,2
正五邊形的每一個內角是幾度？,1,,,,,108,先用多邊形內角和公式算出正五邊形的內角和：（邊數－2）×180＝（5－2）×180＝3×180＝540度。正五邊形的5個角都相等，所以每個內角＝540÷5＝108度。,2
正六邊形的內角和是幾度？,0,540,600,720,900,720,根據多邊形內角和公式：內角和＝（邊數－2）×180度。正六邊形有6條邊，代入公式：（6－2）×180＝4×180＝720度。所以正六邊形的內角和是720度。,2
一個平行四邊形有一個角是72度，請問與它相鄰的角是幾度？,0,72,98,108,118,108,根據平行四邊形的性質，相鄰的兩個角互補，也就是加起來等於180度（因為平行線的同側內角互補）。設相鄰角為x度，列式：72＋x＝180。算出x＝180－72＝108。所以與它相鄰的角是108度。,2
菱形有幾條對稱軸？,0,0,1,2,4,2,菱形有2條對稱軸。這兩條對稱軸就是菱形的兩條對角線。沿著任一條對角線對折，兩半都能完全重合。注意：菱形不像正方形有4條對稱軸，菱形只有沿對角線方向的2條。,2
一個等腰三角形有一個角是36度，已知36度是頂角，請問每個底角是幾度？,0,62,72,82,92,72,根據三角形內角和定理，三個內角加起來等於180度。等腰三角形有兩個相等的底角。已知頂角是36度，設每個底角為x度，列式：36＋x＋x＝180，也就是36＋2x＝180。移項得2x＝180－36＝144。算出x＝144÷2＝72。所以每個底角是72度。,2
小美量了一個三角形的路標，兩個角分別是53度和90度。請問第三個角是幾度？這個三角形按角度分類是哪一種？,2,銳角三角形且37度,直角三角形且37度,鈍角三角形且37度,直角三角形且47度,直角三角形且37度,根據三角形內角和定理，三個內角加起來等於180度。設第三個角為x度，列式：53＋90＋x＝180。先算53＋90＝143。再算x＝180－143＝37。第三個角是37度。三個角分別是53度、90度、37度。因為有一個角等於90度，根據分類定義，有一個角等於90度的三角形叫做直角三角形。,2
一個正方形的一條對角線把它分成兩個三角形。請問每個三角形的三個角分別是幾度？這兩個三角形各是哪一種三角形？,2,30度和60度和90度且為直角三角形,45度和45度和90度且為等腰直角三角形,60度和60度和60度且為正三角形,40度和50度和90度且為直角三角形,45度和45度和90度且為等腰直角三角形,正方形的四個角都是90度。一條對角線將正方形分成兩個三角形。對角線把兩個直角各平分成兩個45度角。每個三角形有兩個45度的角（來自被對角線分開的兩個直角），根據三角形內角和定理，第三個角＝180－45－45＝90度。所以每個三角形的三個角是45度、45度、90度。因為有兩個角相等（都是45度）且有一個直角，這是等腰直角三角形。,2
一個三角形的三個角的度數比是1:3:5，請問最大的角是幾度？這個三角形是什麼類型？（銳角、直角或鈍角三角形）,2,80度銳角三角形,90度直角三角形,100度鈍角三角形,120度鈍角三角形,100度鈍角三角形,三個角的比是1:3:5，總份數＝1＋3＋5＝9份。根據三角形內角和定理，三個角加起來是180度。每一份＝180÷9＝20度。最小角＝1×20＝20度，中間角＝3×20＝60度，最大角＝5×20＝100度。因為100度大於90度，有一個角超過90度，所以這是鈍角三角形。,3
一個三角形的一個外角是128度，這個外角不相鄰的兩個內角中，其中一個是63度。請問另一個不相鄰的內角是幾度？,0,55,65,75,85,65,根據三角形外角定理，三角形的一個外角等於不相鄰的兩個內角之和。設另一個不相鄰的內角為x度，列式：63＋x＝128。算出x＝128－63＝65。驗算：與外角相鄰的內角＝180－128＝52度，三個內角和＝52＋63＋65＝180度，符合三角形內角和定理。所以另一個不相鄰的內角是65度。,3
正十邊形的每一個內角是幾度？,1,,,,,144,先用多邊形內角和公式算出正十邊形的內角和：（邊數－2）×180＝（10－2）×180＝8×180＝1440度。正十邊形的10個角都相等，所以每個內角＝1440÷10＝144度。,3
一個等腰三角形的一個底角是頂角的2倍，請問頂角是幾度？,2,30,36,40,45,36,等腰三角形有兩個相等的底角。設頂角為x度，則每個底角為2x度。根據三角形內角和定理，列式：x＋2x＋2x＝180，也就是5x＝180。算出x＝180÷5＝36。所以頂角是36度。驗算：兩個底角各72度，三個角的和＝36＋72＋72＝180度，正確。,3
一塊正六邊形的地磚，從中心點到每個頂點連線可以分成6個三角形。請問每個三角形的三個角分別是幾度？這些三角形各是哪一種三角形？,2,30度和30度和120度且為等腰三角形,45度和45度和90度且為等腰直角三角形,60度和60度和60度且為正三角形,50度和50度和80度且為銳角三角形,60度和60度和60度且為正三角形,正六邊形從中心到6個頂點連線，分成6個全等的三角形。中心處的角度總和是360度，每個三角形在中心處的角＝360÷6＝60度。正六邊形的每個內角＝（6－2）×180÷6＝120度，連線把每個內角平分成兩個60度。所以每個三角形的三個角分別是60度、60度和60度，三個角都相等，這是正三角形。,3
一個等腰梯形的上底兩個角各是115度，請問下底的每個角是幾度？,0,55,65,75,85,65,梯形是四邊形，根據四邊形內角和定理，四個內角加起來等於360度。等腰梯形的兩組角分別相等：上底兩個角各115度，下底兩個角也相等。設下底每個角為x度，列式：115＋115＋x＋x＝360，也就是230＋2x＝360。移項得2x＝360－230＝130。算出x＝130÷2＝65度。所以下底兩個角各是65度。,3
四邊形ABCD中，角A＝85度，角B＝95度，角C是角D的2倍。請問角D是幾度？,2,50,55,60,65,60,根據四邊形內角和定理，四個內角加起來等於360度。設角D＝x度，角C＝2x度。列式：85＋95＋2x＋x＝360，也就是180＋3x＝360。移項得3x＝360－180＝180。算出x＝180÷3＝60。所以角D是60度。驗算：角C＝2×60＝120度，四個角的和＝85＋95＋120＋60＝360度，正確。,3
一個七邊形的內角和是幾度？,0,720,900,1080,1260,900,根據多邊形內角和公式：內角和＝（邊數－2）×180度。七邊形有7條邊，代入公式：（7－2）×180＝5×180＝900度。所以七邊形的內角和是900度。,3
一個三角形的三個角中，最小的角是最大的角的三分之一，中間的角是50度。請問最大的角是幾度？這個三角形是哪一種三角形？（銳角、直角或鈍角三角形）,2,91度鈍角三角形,95度鈍角三角形,97.5度鈍角三角形,100度鈍角三角形,97.5度鈍角三角形,設最大角為x度，則最小角為x÷3度。中間角是50度。根據三角形內角和定理：x÷3＋50＋x＝180。合併同類項：x÷3＋x＝4x÷3。列式：4x÷3＋50＝180。移項：4x÷3＝130。兩邊乘以3：4x＝390。算出x＝390÷4＝97.5。最大角是97.5度。因為97.5度大於90度，所以這是鈍角三角形。驗算：最小角＝97.5÷3＝32.5度，三角和＝32.5＋50＋97.5＝180度，正確。,3
兩個全等的正三角形拼成一個菱形。請問這個菱形的四個角分別是幾度？,2,60度和60度和120度和120度,45度和45度和135度和135度,90度和90度和90度和90度,30度和30度和150度和150度,60度和60度和120度和120度,正三角形的每個角都是60度。兩個正三角形沿著一條邊拼合成菱形。在拼合處，兩個60度的角合在一起形成120度。在菱形的另外兩個頂點，角度就是正三角形原來的60度。所以這個菱形的四個角是60度、120度、60度、120度。驗算：60＋120＋60＋120＝360度，符合四邊形內角和定理。,3
