1→社區要在中庭鋪一層厚度8公分的水泥地板。中庭是長方形，長15公尺、寬12公尺。工程公司報價時需要知道水泥的體積。請問總共需要多少立方公尺的水泥？（答案用小數表示）,1,,,,,14.4,【第一步】算出中庭地板的面積。面積＝長×寬＝15×12＝180平方公尺。【第二步】把厚度的單位換算成公尺。8公分＝8÷100＝0.08公尺。【第三步】算出水泥的體積。體積＝面積×厚度＝180×0.08＝14.4立方公尺。注意：長和寬的單位是公尺，厚度的單位是公分，一定要先統一成公尺再計算。常見錯誤是忘記換算單位，直接用180×8＝1440，那就變成立方公分和立方公尺混在一起了。,3
2→小華的爸爸買了一個有蓋的長方體保溫箱。外部尺寸是長42公分、寬32公分、高27公分。四面側壁和底部的厚度都是1公分，但上蓋比較厚，厚度是2公分。請問這個保溫箱的容積是幾立方公分？,1,,,,,28800,【第一步】算內部的長。外部長42公分，左右各有1公分的壁厚，所以內部長＝42－1－1＝40公分。【第二步】算內部的寬。外部寬32公分，前後各有1公分的壁厚，所以內部寬＝32－1－1＝30公分。【第三步】算內部的高。外部高27公分，這是有蓋容器，底部厚1公分，上蓋厚2公分，所以內部高＝27－1－2＝24公分。注意上蓋和底部的厚度不同，要分開扣。【第四步】算容積。容積＝內部長×內部寬×內部高＝40×30×24，先算40×30＝1200，再算1200×24＝28800立方公分。常見錯誤是把上蓋也當成1公分，那就會算成40×30×25＝30000，答案就錯了。,3
3→學校要建一個凹字形的花圃。花圃的外部是一個長14公尺、寬10公尺的長方形，中間挖掉一個長6公尺、寬4公尺的長方形區域（上下貫穿）。花圃要填入50公分深的培養土。旁邊的走道寬2公尺，不需要填土。請問需要多少立方公尺的培養土？（答案用小數表示）,1,,,,,58,【解題關鍵】走道的資訊是多餘的干擾條件，不需要用到。【第一步】算凹字形花圃的面積。先算外部長方形面積：14×10＝140平方公尺。再算中間挖掉的面積：6×4＝24平方公尺。凹字形面積＝140－24＝116平方公尺。【第二步】把深度換算成公尺。50公分＝50÷100＝0.5公尺。【第三步】算培養土體積。體積＝面積×深度＝116×0.5＝58立方公尺。注意：走道寬2公尺是干擾資訊，題目說走道「不需要填土」，所以不用管它。,3
4→一個長方體水箱內部長60公分、寬40公分、高35公分，目前水深24公分。小明把一塊長20公分、寬15公分、高10公分的長方體鐵塊完全沉入水中。水箱旁邊還放了一瓶500毫升的礦泉水，但沒有倒進去。請問放入鐵塊後水深是幾公分？（答案用小數表示）,1,,,,,25.25,【解題關鍵】礦泉水沒有倒進水箱，是干擾條件，不需要使用。【第一步】算鐵塊的體積。鐵塊體積＝20×15×10＝3000立方公分。【第二步】算水箱的底面積。底面積＝60×40＝2400平方公分。【第三步】用排水法算水面上升高度。鐵塊放入水中，排開的水體積等於鐵塊體積。水面上升高度＝鐵塊體積÷底面積＝3000÷2400＝1.25公分。【第四步】算新水深。新水深＝原水深＋上升高度＝24＋1.25＝25.25公分。檢查：25.25公分＜35公分（水箱高度），水不會溢出。所以放入鐵塊後水深是25.25公分。,3
5→搬家公司使用邊長40公分的正方體紙箱。貨車車廂內部長240公分、寬160公分、高200公分。司機說車廂可以裝130個紙箱，請問司機的說法對嗎？車廂最多可以裝幾個紙箱？（答案填最多可裝的紙箱數量）,1,,,,,120,【解題關鍵】不能用「車廂體積÷紙箱體積」來算，因為紙箱是硬的方塊，要看每個方向各能放幾個。【第一步】長的方向能放幾個？240÷40＝6個。【第二步】寬的方向能放幾個？160÷40＝4個。【第三步】高的方向能放幾個？200÷40＝5個。【第四步】最多可以放6×4×5＝120個。如果用體積算：車廂體積＝240×160×200＝7680000，紙箱體積＝40×40×40＝64000，7680000÷64000＝120個。這題剛好整除所以答案相同，但如果某個方向除不盡，體積法會算錯。司機說130個是不對的，最多只能裝120個。,3
6→工地要挖一個長方體坑洞做地基，長6公尺、寬4公尺、深1.5公尺。挖出的土要用卡車運走，每車最多載5立方公尺。工頭預估要運7車，請問工頭的預估夠嗎？至少要運幾車？（答案填至少需要的車數）,1,,,,,8,【第一步】算挖出的土的體積。體積＝長×寬×深＝6×4×1.5，先算6×4＝24，再算24×1.5＝36立方公尺。【第二步】算需要幾車。36÷5＝7.2車。【第三步】判斷進位。因為7車只能裝7×5＝35立方公尺，還剩36－35＝1立方公尺的土沒運走。剩下的土也需要一車來運，所以要「無條件進位」到8車。工頭預估7車是不夠的，至少需要8車才能把所有的土運完。注意：遇到「至少」需要幾車的問題，除不盡時一定要無條件進位。,3
7→一塊長方體大理石，長18公分、寬12公分、高10公分。雕刻師傅從大理石的正上方往下挖了一個正方體的洞，正方體邊長6公分，挖的深度也是6公分（沒有穿透底部）。大理石的密度是每立方公分2.7公克，但這題不需要算重量。請問挖洞後剩下的大理石體積是幾立方公分？,1,,,,,1944,【解題關鍵】密度的資訊是多餘的干擾條件，題目也提示了不需要算重量。【第一步】算原來大理石的體積。原體積＝18×12×10＝2160立方公分（先算18×12＝216，再算216×10＝2160）。【第二步】算挖掉的正方體體積。挖掉的體積＝6×6×6＝216立方公分。【第三步】算剩下的體積。剩餘體積＝原體積－挖掉的體積＝2160－216＝1944立方公分。注意：挖的深度是6公分，沒有穿透底部（因為大理石高10公分，6＜10），所以挖掉的就是一個邊長6公分的正方體。,3
8→一個無蓋的長方體水箱，外部長32公分、寬22公分、高18公分，壁厚和底部厚度都是2公分。如果水箱裡的水深10公分，請問水箱裡有多少立方公分的水？,1,,,,,5040,【第一步】算內部的長。外部長32公分，左右各扣壁厚2公分，內部長＝32－2－2＝28公分。【第二步】算內部的寬。外部寬22公分，前後各扣壁厚2公分，內部寬＝22－2－2＝18公分。【第三步】算內部的高。外部高18公分，因為是「無蓋」容器，只扣底部厚度2公分，上方沒有蓋子不用扣。內部高＝18－2＝16公分。【第四步】檢查水深。水深10公分＜內部高16公分，水不會溢出。【第五步】算水的體積。水的體積＝內部長×內部寬×水深＝28×18×10，先算28×18＝504，再算504×10＝5040立方公分。無蓋容器的關鍵：高度只扣底部的壁厚，上面不用扣。,3
9→甲容器（內部長40公分、寬30公分、高25公分）裝滿了水。把水全部倒入乙容器（內部底面積為600平方公分、高60公分）。請問乙容器裡的水深是幾公分？,1,,,,,50,【第一步】算甲容器裝滿水的體積。水的體積＝40×30×25，先算40×30＝1200，再算1200×25＝30000立方公分。【第二步】水從甲倒到乙，水的體積不會改變，還是30000立方公分。【第三步】算乙容器裡的水深。水深＝水的體積÷底面積＝30000÷600＝50公分。【第四步】檢查是否溢出。水深50公分＜乙容器高度60公分，所以不會溢出。如果算出來的水深超過容器高度，就表示水會溢出，水深就等於容器高度。這題50＜60，水剛好裝得下。,3
10→一個長方體水池，內部長120公分、寬60公分、高50公分，目前水深30公分。現在把一根底面積1200平方公分、高50公分的圓柱形裝飾柱直立放在池底。柱子的高度和水池一樣高。請問放入柱子後水深變成幾公分？（答案填整數）,1,,,,,36,【解題關鍵】柱子高度等於水池高度，而且柱子比水面高，所以水只能填在柱子周圍的空間。【第一步】算水池底面積。底面積＝120×60＝7200平方公分。【第二步】算原來的水量。水量＝底面積×水深＝7200×30＝216000立方公分。【第三步】放入柱子後，水不能佔據柱子的位置。水只能在「水池底面積減去柱子底面積」的區域上升。剩餘底面積＝7200－1200＝6000平方公分。【第四步】設放入柱子後水深為h公分。因為水量不變：6000×h＝216000，h＝216000÷6000＝36公分。【第五步】檢查：36公分＜50公分（水池高度），而且36公分＜50公分（柱子高度），水面在柱子以下，計算合理。所以水深變成36公分。,3
11→一條彩帶長120公分。小明先剪了全部的1/4送給姐姐，再從「剩下的」彩帶中剪了2/3送給弟弟。小明手上原本還有一條50公分的紅色緞帶，但沒有用到。請問小明第二次剪了幾公分給弟弟？（答案填整數）,1,,,,,60,【解題關鍵】紅色緞帶是干擾條件，和這題計算無關。【第一步】算第一次剪了多少。第一次剪了「全部的1/4」，基準是全部120公分。120×1/4＝120÷4＝30公分。【第二步】算剪完第一次後剩多少。剩下＝120－30＝90公分。【第三步】算第二次剪了多少。第二次剪了「剩下的2/3」，注意基準是「剩下的」90公分，不是原來的120公分。90×2/3＝(90×2)÷3＝180÷3＝60公分。所以小明第二次剪了60公分給弟弟。關鍵：第一次是「全部的」1/4，第二次是「剩下的」2/3，基準不同要特別注意。,3
12→全班有48位同學。其中3/4的人報名參加校外教學，報名的同學中有2/3的人選擇坐遊覽車，其餘的人選擇坐火車。請問選擇坐火車的有幾位同學？（答案填整數）,1,,,,,12,【第一步】算報名校外教學的人數。48×3/4＝(48×3)÷4＝144÷4＝36位。【第二步】算選擇坐遊覽車的人數。36×2/3＝(36×2)÷3＝72÷3＝24位。【第三步】算選擇坐火車的人數。報名的36位中，坐遊覽車的有24位，其餘坐火車。坐火車＝36－24＝12位。也可以這樣想：坐火車的佔報名人數的1－2/3＝1/3，36×1/3＝12位。注意：坐火車的是「報名的人中」選擇坐火車的，不是全班的1/3。,3
13→小美有240元零用錢。她花了全部的1/3買文具，又花了「全部」的1/4買飲料。小美的姐姐給了她30元，但這30元是之後才拿到的。請問在姐姐給錢之前，小美還剩下多少元？（答案填整數）,1,,,,,100,【解題關鍵】姐姐給的30元是「之後才拿到的」，所以計算剩餘金額時不能加上去。【第一步】算買文具花了多少。花了「全部」的1/3，基準是全部240元。240×1/3＝80元。【第二步】算買飲料花了多少。花了「全部」的1/4，基準還是全部240元（兩次都是「全部的」）。240×1/4＝60元。【第三步】算花掉的總金額。80＋60＝140元。【第四步】算剩餘。240－140＝100元。注意：兩次都是「全部的幾分之幾」，基準都是原來的240元。如果第二次寫的是「剩下的1/4」，基準就會變成剩下的160元，答案就不同了。,3
14→一條繩子長2又2/5公尺。小華剪了全部的5/6做成跳繩。小華的書包重3.5公斤，跟這題無關。請問小華剪了幾公尺的繩子？（答案填整數）,1,,,,,2,【解題關鍵】書包重量是干擾條件，完全不需要。【第一步】把帶分數化為假分數。2又2/5＝(2×5＋2)/5＝12/5。【第二步】算剪了多少。12/5×5/6，先約分：分子的5和分母的5約掉，分子的12和分母的6約掉（都除以6），得到2/1×1/1＝2。也可以直接算：(12×5)/(5×6)＝60/30＝2公尺。驗算：2又2/5公尺的5/6＝12/5×5/6＝2公尺，正確。所以小華剪了2公尺。,3
15→圖書館共有600本書。其中2/5是故事書，故事書中有3/4適合中年級閱讀，適合中年級的故事書中有1/3是今年新進的。另外圖書館每天開放8小時，這和計算無關。請問今年新進的適合中年級故事書有幾本？（答案填整數）,1,,,,,60,【解題關鍵】開放時間是干擾條件。【第一步】算故事書有幾本。600×2/5＝(600×2)÷5＝1200÷5＝240本。【第二步】算適合中年級閱讀的故事書有幾本。240×3/4＝(240×3)÷4＝720÷4＝180本。【第三步】算今年新進的有幾本。180×1/3＝180÷3＝60本。驗算：600×2/5×3/4×1/3，先約分：分子2和分母4約掉得1和2，分子3和分母3約掉，變成600×1/2×1/1×1/5... 不對，直接逐步算比較清楚。600→240→180→60本。,3
16→小明存了一筆零用錢。他先花了全部的2/7買模型飛機，再花了「剩下的」3/5買漫畫書。小明發現他花掉的金額加起來剛好等於存款的幾分之幾？（答案用最簡分數表示，例如 3/4）,1,,,,,5/7,【第一步】算買模型飛機花了全部的多少。模型飛機＝全部的2/7。【第二步】算剩下多少。剩下＝1－2/7＝5/7。【第三步】算買漫畫花了全部的多少。漫畫花了「剩下的3/5」，基準是剩下的5/7。佔全部的比例＝5/7×3/5，分子5和分母5約掉，得3/7。漫畫＝全部的3/7。【第四步】算總共花了全部的多少。花掉的比例＝模型＋漫畫＝2/7＋3/7＝5/7。所以小明花掉了全部存款的5/7。注意：漫畫是「剩下的3/5」，要先算出佔全部的比例再相加。,3
17→農場養了360隻雞。其中1/4是公雞，其餘都是母雞。母雞中有2/3正在下蛋。農場每天消耗50公斤飼料，但這跟算雞的數量無關。請問正在下蛋的母雞有幾隻？（答案填整數）,1,,,,,180,【解題關鍵】飼料消耗是干擾條件。【第一步】算公雞有幾隻。360×1/4＝90隻。【第二步】算母雞有幾隻。母雞＝全部－公雞＝360－90＝270隻。注意：不能用360×2/3來算，因為母雞是「其餘」的，佔3/4（＝1－1/4），不是2/3。360×3/4＝270隻，和360－90的答案一樣。【第三步】算正在下蛋的母雞。270×2/3＝(270×2)÷3＝540÷3＝180隻。所以正在下蛋的母雞有180隻。,3
18→一塊蛋糕平均切成12份。媽媽吃了3份，爸爸吃了媽媽所吃份數的2/3，小明吃了爸爸所吃份數的1/2。請問蛋糕還剩下幾份？（答案填整數）,1,,,,,6,【第一步】媽媽吃了3份。【第二步】算爸爸吃了幾份。爸爸吃了「媽媽所吃份數的2/3」，基準是媽媽的3份。3×2/3＝2份。【第三步】算小明吃了幾份。小明吃了「爸爸所吃份數的1/2」，基準是爸爸的2份。2×1/2＝1份。【第四步】算總共吃了幾份。3＋2＋1＝6份。【第五步】算剩下幾份。12－6＝6份。注意：每個人的基準都不同，媽媽是直接給份數，爸爸是「媽媽的2/3」，小明是「爸爸的1/2」，要一層一層算。,3
19→果園面積是3/4公頃。其中2/3種了蘋果樹，蘋果園中有4/5已經結果了。果園旁邊有一條3公尺寬的灌溉水渠，但不屬於果園面積。請問已經結果的蘋果園面積是幾公頃？（答案用最簡分數表示，例如 3/4）,1,,,,,2/5,【解題關鍵】灌溉水渠不屬於果園面積，是干擾條件。【第一步】算蘋果園面積。3/4×2/3，先約分：分子3和分母3約掉，變成1/4×2/1＝2/4＝1/2公頃。【第二步】算已結果的面積。1/2×4/5＝(1×4)/(2×5)＝4/10＝2/5公頃。也可以三個分數連乘：3/4×2/3×4/5＝(3×2×4)/(4×3×5)＝24/60。約分：24和60的最大公因數是12，24÷12＝2，60÷12＝5，所以24/60＝2/5公頃。,3
20→小華做了一個蛋糕。先切了全部的1/3給媽媽，再切了「剩下的」1/2給爸爸，最後切了「再剩下的」1/2給妹妹。請問妹妹拿到了全部蛋糕的幾分之幾？（答案用最簡分數表示，例如 3/4）,1,,,,,1/6,【第一步】給媽媽後剩下多少。給了1/3，剩下1－1/3＝2/3。【第二步】給爸爸後剩下多少。爸爸拿走「剩下的1/2」，爸爸拿了2/3×1/2＝2/6＝1/3。給爸爸後剩下：2/3－1/3＝1/3。【第三步】給妹妹多少。妹妹拿走「再剩下的1/2」，妹妹拿了1/3×1/2＝1/6。所以妹妹拿到全部蛋糕的1/6。注意：每一次「剩下的」基準都在改變。全部→2/3→1/3→1/6。驗算：媽媽1/3＋爸爸1/3＋妹妹1/6＝2/6＋2/6＋1/6＝5/6，自己還剩1/6，加起來＝1，正確。,3
21→小美家的魚缸（內部長50公分、寬30公分、高40公分）目前水深20公分。她往魚缸注入22.5公升的水。魚缸旁邊放了一包500公克的魚飼料，跟水量計算無關。請問注水後魚缸裡的水深是幾公分？（1公升＝1000毫升＝1000立方公分，答案填整數）,1,,,,,35,【解題關鍵】魚飼料是干擾條件。【第一步】算原來的水量。底面積＝50×30＝1500平方公分。原水量＝1500×20＝30000立方公分。【第二步】換算注入的水量。22.5公升＝22500毫升＝22500立方公分（因為1公升＝1000毫升＝1000立方公分）。【第三步】算注水後總水量。30000＋22500＝52500立方公分。【第四步】算新水深。水深＝總水量÷底面積＝52500÷1500＝35公分。【第五步】檢查是否溢出。35公分＜40公分（魚缸高度），不會溢出。所以注水後水深是35公分。,3
22→水龍頭每分鐘注入1200毫升的水到一個空的長方體容器，同時排水管每分鐘排出700毫升的水。容器的內部長40公分、寬25公分、高24公分。隔壁的水龍頭每分鐘流2公升，但那是另一個水槽的，跟這題無關。請問幾分鐘後這個容器會裝滿？（答案填整數）,1,,,,,48,【解題關鍵】隔壁水龍頭是干擾條件。【第一步】算容器的容積。容積＝40×25×24＝24000立方公分。因為1毫升＝1立方公分，所以容積＝24000毫升。【第二步】算每分鐘的「淨注入量」。因為一邊進水一邊排水，淨注入量＝注入量－排出量＝1200－700＝500毫升/分鐘。【第三步】算裝滿需要多少分鐘。時間＝容積÷淨注入量＝24000÷500＝48分鐘。所以48分鐘後容器會裝滿。注意：不能只用注入量算（24000÷1200＝20分鐘），因為同時有排水。,3
23→媽媽買了一大瓶5公升的沙拉油。她每天炒菜用75毫升。今天是星期一，請問這瓶沙拉油最多可以用到星期幾？（答案填可以用幾天的整數天數，不足一天不算）,1,,,,,66,【第一步】換算單位。5公升＝5000毫升。【第二步】算最多可以用幾天。5000÷75＝66.666...天。因為不足一天不算，所以最多可以用66天（用「無條件捨去」法）。驗算：66×75＝4950毫升＜5000毫升，第66天用完後還剩50毫升。第67天需要75毫升但只剩50毫升，不夠一天的量。注意：這裡用的是捨去法（只算完整天數），和之前「至少需要幾車」的進位法剛好相反。,3
